cell	n_obs	beta_t	out_dev	tau2	n_chunks
n32_b0.5_o20_tnone	32	0.5	20	none	1
n32_b0.5_o20_t1	32	0.5	20	1	1
n32_b0.5_o200_tnone	32	0.5	200	none	1
n32_b0.5_o200_t1	32	0.5	200	1	1
n32_b1_o0_tnone	32	1	0	none	1
n32_b1_o0_t1	32	1	0	1	1
n32_b1_o20_tnone	32	1	20	none	1
n32_b1_o20_t1	32	1	20	1	1
n32_b1_o200_tnone	32	1	200	none	1
n32_b1_o200_t1	32	1	200	1	1
n64_b0_o0_tnone	64	0	0	none	1
n64_b0_o0_t1	64	0	0	1	1
n64_b0_o20_tnone	64	0	20	none	1
n64_b0_o20_t1	64	0	20	1	1
n64_b0_o200_tnone	64	0	200	none	1
n64_b0_o200_t1	64	0	200	1	1
n64_b0.05_o0_tnone	64	0.05	0	none	1
n64_b0.05_o0_t1	64	0.05	0	1	1
n64_b0.05_o20_tnone	64	0.05	20	none	1
n64_b0.05_o20_t1	64	0.05	20	1	1
n64_b0.05_o200_tnone	64	0.05	200	none	1
n64_b0.05_o200_t1	64	0.05	200	1	1
n64_b0.1_o0_tnone	64	0.1	0	none	1
n64_b0.1_o0_t1	64	0.1	0	1	1
n64_b0.1_o20_tnone	64	0.1	20	none	1
n64_b0.1_o20_t1	64	0.1	20	1	1
n64_b0.1_o200_tnone	64	0.1	200	none	1
n64_b0.1_o200_t1	64	0.1	200	1	1
n64_b0.2_o0_tnone	64	0.2	0	none	1
n64_b0.2_o0_t1	64	0.2	0	1	1
n64_b0.2_o20_tnone	64	0.2	20	none	1
n64_b0.2_o20_t1	64	0.2	20	1	1
n64_b0.2_o200_tnone	64	0.2	200	none	1
n64_b0.2_o200_t1	64	0.2	200	1	1
n64_b0.5_o0_tnone	64	0.5	0	none	1
n64_b0.5_o0_t1	64	0.5	0	1	1
n64_b0.5_o20_tnone	64	0.5	20	none	1
n64_b0.5_o20_t1	64	0.5	20	1	1
n64_b0.5_o200_tnone	64	0.5	200	none	1
n64_b0.5_o200_t1	64	0.5	200	1	1
n64_b1_o0_tnone	64	1	0	none	1
n64_b1_o0_t1	64	1	0	1	1
n64_b1_o20_tnone	64	1	20	none	1
n64_b1_o20_t1	64	1	20	1	1
n64_b1_o200_tnone	64	1	200	none	1
n64_b1_o200_t1	64	1	200	1	1
n128_b0_o0_tnone	128	0	0	none	2
n128_b0_o0_t1	128	0	0	1	2
n128_b0_o20_tnone	128	0	20	none	2
n128_b0_o20_t1	128	0	20	1	2
n128_b0_o200_tnone	128	0	200	none	2
n128_b0_o200_t1	128	0	200	1	2
n128_b0.05_o0_tnone	128	0.05	0	none	2
n128_b0.05_o0_t1	128	0.05	0	1	2
n128_b0.05_o20_tnone	128	0.05	20	none	2
n128_b0.05_o20_t1	128	0.05	20	1	2
n128_b0.05_o200_tnone	128	0.05	200	none	2
n128_b0.05_o200_t1	128	0.05	200	1	2
n128_b0.1_o0_tnone	128	0.1	0	none	2
n128_b0.1_o0_t1	128	0.1	0	1	2
n128_b0.1_o20_tnone	128	0.1	20	none	2
n128_b0.1_o20_t1	128	0.1	20	1	2
n128_b0.1_o200_tnone	128	0.1	200	none	2
n128_b0.1_o200_t1	128	0.1	200	1	2
n128_b0.2_o0_tnone	128	0.2	0	none	2
n128_b0.2_o0_t1	128	0.2	0	1	2
n128_b0.2_o20_tnone	128	0.2	20	none	2
n128_b0.2_o20_t1	128	0.2	20	1	2
n128_b0.2_o200_tnone	128	0.2	200	none	2
n128_b0.2_o200_t1	128	0.2	200	1	2
n128_b0.5_o0_tnone	128	0.5	0	none	2
n128_b0.5_o0_t1	128	0.5	0	1	2
n128_b0.5_o20_tnone	128	0.5	20	none	2
n128_b0.5_o20_t1	128	0.5	20	1	2
n128_b0.5_o200_tnone	128	0.5	200	none	2
n128_b0.5_o200_t1	128	0.5	200	1	2
n128_b1_o0_tnone	128	1	0	none	2
n128_b1_o0_t1	128	1	0	1	2
n128_b1_o20_tnone	128	1	20	none	2
n128_b1_o20_t1	128	1	20	1	2
n128_b1_o200_tnone	128	1	200	none	2
n128_b1_o200_t1	128	1	200	1	2
n256_b0_o0_tnone	256	0	0	none	4
n256_b0_o0_t1	256	0	0	1	4
n256_b0_o20_tnone	256	0	20	none	4
n256_b0_o20_t1	256	0	20	1	4
n256_b0_o200_tnone	256	0	200	none	4
n256_b0_o200_t1	256	0	200	1	4
n256_b0.05_o0_tnone	256	0.05	0	none	4
n256_b0.05_o0_t1	256	0.05	0	1	4
n256_b0.05_o20_tnone	256	0.05	20	none	4
n256_b0.05_o20_t1	256	0.05	20	1	4
n256_b0.05_o200_tnone	256	0.05	200	none	4
n256_b0.05_o200_t1	256	0.05	200	1	4
n256_b0.1_o0_tnone	256	0.1	0	none	4
n256_b0.1_o0_t1	256	0.1	0	1	4
n256_b0.1_o20_tnone	256	0.1	20	none	4
n256_b0.1_o20_t1	256	0.1	20	1	4
n256_b0.1_o200_tnone	256	0.1	200	none	4
n256_b0.1_o200_t1	256	0.1	200	1	4
n256_b0.2_o0_tnone	256	0.2	0	none	4
n256_b0.2_o0_t1	256	0.2	0	1	4
n256_b0.2_o20_tnone	256	0.2	20	none	4
n256_b0.2_o20_t1	256	0.2	20	1	4
n256_b0.2_o200_tnone	256	0.2	200	none	4
n256_b0.2_o200_t1	256	0.2	200	1	4
n256_b0.5_o0_tnone	256	0.5	0	none	4
n256_b0.5_o0_t1	256	0.5	0	1	4
n256_b0.5_o20_tnone	256	0.5	20	none	4
n256_b0.5_o20_t1	256	0.5	20	1	4
n256_b0.5_o200_tnone	256	0.5	200	none	4
n256_b0.5_o200_t1	256	0.5	200	1	4
n256_b1_o0_tnone	256	1	0	none	4
n256_b1_o0_t1	256	1	0	1	4
n256_b1_o20_tnone	256	1	20	none	4
n256_b1_o20_t1	256	1	20	1	4
n256_b1_o200_tnone	256	1	200	none	4
n256_b1_o200_t1	256	1	200	1	4
n512_b0_o0_tnone	512	0	0	none	8
n512_b0_o0_t1	512	0	0	1	8
n512_b0_o20_tnone	512	0	20	none	8
n512_b0_o20_t1	512	0	20	1	8
n512_b0_o200_tnone	512	0	200	none	8
n512_b0_o200_t1	512	0	200	1	8
n512_b0.05_o0_tnone	512	0.05	0	none	8
n512_b0.05_o0_t1	512	0.05	0	1	8
n512_b0.05_o20_tnone	512	0.05	20	none	8
n512_b0.05_o20_t1	512	0.05	20	1	8
n512_b0.05_o200_tnone	512	0.05	200	none	8
n512_b0.05_o200_t1	512	0.05	200	1	8
n512_b0.1_o0_tnone	512	0.1	0	none	8
n512_b0.1_o0_t1	512	0.1	0	1	8
n512_b0.1_o20_tnone	512	0.1	20	none	8
n512_b0.1_o20_t1	512	0.1	20	1	8
n512_b0.1_o200_tnone	512	0.1	200	none	8
n512_b0.1_o200_t1	512	0.1	200	1	8
n512_b0.2_o0_tnone	512	0.2	0	none	8
n512_b0.2_o0_t1	512	0.2	0	1	8
n512_b0.2_o20_tnone	512	0.2	20	none	8
n512_b0.2_o20_t1	512	0.2	20	1	8
n512_b0.2_o200_tnone	512	0.2	200	none	8
n512_b0.2_o200_t1	512	0.2	200	1	8
n512_b0.5_o0_tnone	512	0.5	0	none	8
n512_b0.5_o0_t1	512	0.5	0	1	8
n512_b0.5_o20_tnone	512	0.5	20	none	8
n512_b0.5_o20_t1	512	0.5	20	1	8
n512_b0.5_o200_tnone	512	0.5	200	none	8
n512_b0.5_o200_t1	512	0.5	200	1	8
n512_b1_o0_tnone	512	1	0	none	8
n512_b1_o0_t1	512	1	0	1	8
n512_b1_o20_tnone	512	1	20	none	8
n512_b1_o20_t1	512	1	20	1	8
n512_b1_o200_tnone	512	1	200	none	8
n512_b1_o200_t1	512	1	200	1	8
n1024_b0_o0_tnone	1024	0	0	none	16
n1024_b0_o0_t1	1024	0	0	1	16
n1024_b0_o20_tnone	1024	0	20	none	16
n1024_b0_o20_t1	1024	0	20	1	16
n1024_b0_o200_tnone	1024	0	200	none	16
n1024_b0_o200_t1	1024	0	200	1	16
n1024_b0.05_o0_tnone	1024	0.05	0	none	16
n1024_b0.05_o0_t1	1024	0.05	0	1	16
n1024_b0.05_o20_tnone	1024	0.05	20	none	16
n1024_b0.05_o20_t1	1024	0.05	20	1	16
n1024_b0.05_o200_tnone	1024	0.05	200	none	16
n1024_b0.05_o200_t1	1024	0.05	200	1	16
n1024_b0.1_o0_tnone	1024	0.1	0	none	16
n1024_b0.1_o0_t1	1024	0.1	0	1	16
n1024_b0.1_o20_tnone	1024	0.1	20	none	16
n1024_b0.1_o20_t1	1024	0.1	20	1	16
n1024_b0.1_o200_tnone	1024	0.1	200	none	16
n1024_b0.1_o200_t1	1024	0.1	200	1	16
n1024_b0.2_o0_tnone	1024	0.2	0	none	16
n1024_b0.2_o0_t1	1024	0.2	0	1	16
n1024_b0.2_o20_tnone	1024	0.2	20	none	16
n1024_b0.2_o20_t1	1024	0.2	20	1	16
n1024_b0.2_o200_tnone	1024	0.2	200	none	16
n1024_b0.2_o200_t1	1024	0.2	200	1	16
n1024_b0.5_o0_tnone	1024	0.5	0	none	16
n1024_b0.5_o0_t1	1024	0.5	0	1	16
n1024_b0.5_o20_tnone	1024	0.5	20	none	16
n1024_b0.5_o20_t1	1024	0.5	20	1	16
n1024_b0.5_o200_tnone	1024	0.5	200	none	16
n1024_b0.5_o200_t1	1024	0.5	200	1	16
n1024_b1_o0_tnone	1024	1	0	none	16
n1024_b1_o0_t1	1024	1	0	1	16
n1024_b1_o20_tnone	1024	1	20	none	16
n1024_b1_o20_t1	1024	1	20	1	16
n1024_b1_o200_tnone	1024	1	200	none	16
n1024_b1_o200_t1	1024	1	200	1	16
